id,name,RechtsformM,RechtsformD,SitzD,SitzMStadt,SitzMLand,Gruendungsjahr,Typ
GMA,Grocery Manufactures Association,99,99,NA,Washington DC,USA,2,6
Grains for Health Foundation,Grains for Health Foundation,99,99,NA,St Louis Park,USA,5,3
Hamburger Tafel,Hamburger Tafel,99,99,NA,Hamburg,Deutschland,5,6
HandsOn Twin Cities,HandsOn Twin Cities,99,99,NA,Saint Paul,USA,5,3
Healthgrain Forum,Healthgrain Forum,99,99,NA,Espoo ,Finnland,5,6
Helen Keller International,Helen Keller International,99,99,NA,New York,USA,2,3
Holy Innocents Episcopal School,Holy Innocents Episcopal School,99,99,NA,Sandy Springs,USA,4,7
Hosea Feed The Hungry and Homeless,Hosea Feed The Hungry and Homeless,99,99,NA,Atlanta,USA,99,7
ICBA,ICBA,99,99,NA,Washington DC,USA,5,6
ICI,ICI,99,99,NA,Vernier,Schweiz,5,3
ICRW,ICRW,99,99,NA,Washington DC,USA,4,7
IFBA,IFBA,99,99,NA,Genf,Schweiz,5,3
IFRC,IFRC,99,99,NA,Genf,Schweiz,2,3
ILSI,ILSI,99,99,NA,Washington DC,USA,4,7
IMD,IMD,99,99,NA,NA,Brasilien,5,3
Indonesian Nutrition Association,Indonesian Nutrition Association,99,99,NA,Zentral Jakarta,Indonesien,5,4
INMED,INMED,99,99,NA,Sterling,USA,4,3
International Youth Foundation,International Youth Foundation,99,99,NA,Baltimore,USA,5,3
ISCC,ISCC,99,2,Koeln,NA,NA,5,5
JTFO,JFTO,99,99,NA,NA,NA,5,6
Kabisig Summits,Kabisig Summits,99,99,NA,NA,Philippinen,5,7
Kelloggs,Kelloggs,1,2,Hamburg ,Battle Creek,USA,2,1
Kennesaw State University Foundation,Kennesaw State University,99,99,NA,Kennesaw,USA,99,7
Klasse2000,Klasse2000,99,99,NA,Nuernberg,Deutschland,5,3
Lale,Lale,99,99,Berlin,NA,NA,5,6
Lamplighter,Lamplighter,99,99,NA,Rotterdam,Niederlande,5,7
Latin American Association,Latin American Association,99,99,NA,Atlanta,USA,4,6
Lazos de Agua,Lazos de Agua,99,99,NA,NA,NA,5,7
Leadership Group for Responsible Recruitment,Leadership Group for Responsible Recruitment,99,99,NA,London,England,5,7
Literacy Action,Literacy Action,99,99,NA,Atlanta,USA,99,6
Livelihood Funds,Livelihood,99,99,NA,Paris,Frankreich,5,7
Loop,Loop,99,99,NA,London,England,5,7
Magic Bus India,Magic Bus India,99,99,NA,Mumbai,Indien,5,3
Marcatus Mobile Education Platform,Marcatus Mobile Education Platform,99,99,NA,NA,Indien,5,7
Marist School,Marist School,99,99,NA,Brookhaven,USA,99,7
Markenverband,Markenverband,99,99,NA,Berlin,Deutschland,99,6
Mars,Mars,1,2,Verden,McLean,USA,2,1
Maynard Jackson Youth Foundation,Maynard Jackson Youth Foundation,99,99,NA,Atlanta,USA,99,7
Mercy Care Foundation,Mercy Care Foundation,99,99,NA,Chamblee,USA,99,7
Milchindustrieverband,Milchindustrieverband,99,99,NA,Bruessel,Belgien,4,6
MJCCA,Jewish Communicty Center Atlanta,99,99,NA,Atlanta,USA,99,7
Mondelez,Mondelez,1,3,Bremen,Deerfield,USA,2,1
Mondelez International Foundation,Mondelez International Foundation,99,99,NA,Deerfield,USA,5,4
Morehouse College,Morehouse College,99,99,NA,Atlanta,USA,99,7
National Organization on Disability,National Organization on Disability,99,99,NA,New York,USA,4,6
NaturALL Bottle Alliance,NaturALL,99,99,NA,Sacramento,USA,5,7
NCSL,NCSL,99,99,NA,Washington DC,USA,5,7
Nestle,Nestle,1,1,Frankfurt am Main,Vevey,Schweiz,1,1
New American Pathways,New American Pathways,99,99,NA,Atlanta,USA,5,7
Observatoire Francais dApidologie,Observatoire Francais dApidologie,99,99,NA,Mazaugues,Frankreich,5,7
Ocean Conservancy,Ocean Conservancy,99,99,NA,Washington DC,USA,4,4
Oglethorpe University,Oglethorpe University,99,99,NA,Brookhaven,USA,1,7
Operation Gratitude,Operation Gratitude,99,99,NA,Chatsworth,USA,5,7
PAHO,PAHO,99,99,NA,Washington DC,USA,2,6
Park Pride Atlanta,Park Pride Atlanta,99,99,NA,Atlanta,USA,99,6
Partners in Food Solutions,Partners in Food Solutions,99,99,NA,Minneapolis,USA,5,6
PepsiCo,PepsiCo,1,2,Neu Isenburg,Purchase,USA,4,1
Perfect Store,Perfect Store,99,99,NA,NA,Philippinen,5,7
Perspective,Perspective,99,99,NA,NA,NA,99,7
Piedmont Park Conservancy,Piedmont Park Conservancy,99,99,NA,Atlanta,USA,99,6
Plattform Ernaehrung und Bewegung,Plattform Ernaehrung und Bewegung,99,99,Berlin,NA,NA,99,5
Population Services International,Population Services International,99,99,NA,Washington DC,USA,4,3
PRISM,PRISM,99,99,NA,Golden Valley,USA,5,3
Rails to Trails Conservancy,Rails to Trails,99,99,NA,Washington DC,USA,99,6
Rainforest Alliance,Rainforest Alliance,99,99,NA,New York,USA,4,6
RE100,RE100,99,99,NA,NA,NA,5,7
RED,RED,99,99,NA,NA,NA,99,3
RespAct,RespAct,99,99,NA,NA,NA,5,7
Robert W Woodruff Arts Center,Robert W Woodruff Arts Center,99,99,NA,Atlanta,USA,4,7
Robin Hood Foundation,Robin Hood Foundation,99,99,NA,New York,USA,4,3
Ron Clarc Academy,Ron Clarc Academy,99,99,NA,Atlanta,USA,99,7
Safeer,Safeer,99,99,NA,NA,Aegypten,5,5
Safety to Win,Safety to Win,99,99,NA,NA,NA,5,7
Save the Children,Save the Children,99,99,Berlin,London,England,2,3
Services for Education,Services for Education,99,99,NA,Birmingham,Großbritannien,5,3
Shakti,Shakti,99,99,NA,NA,Indien,5,7
Share Our Strength,Share Our Strength,99,99,NA,Washington DC,USA,5,6
